0:00:00.000000,0.0234375,-0.0234375,0.6796875
0:00:00.020000,0.0234375,-0.0234375,0.6796875
0:00:00.040000,0.0234375,-0.0234375,0.671875
0:00:00.060000,0.0234375,-0.0234375,0.6640625
0:00:00.080000,0.0078125,-0.0234375,0.6640625
0:00:00.100000,0.015625,-0.03125,0.6640625
0:00:00.120000,0.0234375,-0.0234375,0.6640625
0:00:00.140000,0.015625,-0.03125,0.6796875
0:00:00.160000,0.015625,-0.03125,0.671875
0:00:00.180000,0.015625,-0.0390625,0.671875
0:00:00.200000,0.015625,-0.0390625,0.6796875
0:00:00.220000,0.015625,-0.0390625,0.671875
0:00:00.240000,0.015625,-0.0390625,0.671875
0:00:00.260000,0.015625,-0.046875,0.671875
0:00:00.280000,0.015625,-0.0390625,0.671875
0:00:00.300000,0.0078125,-0.0390625,0.671875
0:00:00.320000,0.0078125,-0.03125,0.6640625
0:00:00.340000,0.015625,-0.046875,0.671875
0:00:00.360000,0.0078125,-0.0390625,0.671875
0:00:00.380000,0.0078125,-0.0390625,0.671875
0:00:00.243000,0,-0.0390625,0.671875
0:00:00.263000,0.0078125,-0.046875,0.6640625
0:00:00.283000,0.0078125,-0.046875,0.6796875
0:00:00.303000,0.0078125,-0.046875,0.6796875
0:00:00.323000,0,-0.046875,0.6796875
0:00:00.343000,0,-0.046875,0.671875
0:00:00.363000,0.0078125,-0.0546875,0.671875
0:00:00.383000,0,-0.046875,0.671875
0:00:00.403000,0,-0.0546875,0.6640625
0:00:00.423000,0,-0.046875,0.6796875
0:00:00.443000,0,-0.046875,0.6796875
0:00:00.463000,-0.0078125,-0.046875,0.703125
0:00:00.483000,0.0078125,-0.0546875,0.71875
0:00:00.503000,0.0078125,-0.078125,0.7109375
0:00:00.523000,0,-0.1015625,0.703125
0:00:00.543000,-0.0234375,-0.1953125,0.6953125
0:00:00.563000,-0.0859375,-0.234375,0.84375
0:00:00.583000,-0.0859375,-0.3671875,0.9375
0:00:00.603000,0.671875,-1.101563,1.257813
0:00:00.623000,0.5859375,-0.2734375,0.390625
-1 day, 23:59:57.905000,0.78125,0.46875,0.203125
-1 day, 23:59:57.925000,0.9453125,0.3046875,0.328125
-1 day, 23:59:57.945000,1.015625,-0.2265625,0.609375
-1 day, 23:59:57.965000,0.8515625,-0.5234375,0.75
-1 day, 23:59:57.985000,0.7890625,-0.3671875,0.8046875
-1 day, 23:59:58.005000,0.7890625,-0.125,0.8046875
-1 day, 23:59:58.025000,0.75,-0.015625,0.8515625
-1 day, 23:59:58.045000,0.703125,0.0234375,0.9140625
-1 day, 23:59:58.065000,0.53125,-0.0078125,0.9296875
-1 day, 23:59:58.085000,0.3359375,-0.1484375,0.890625
-1 day, 23:59:58.105000,0.25,-0.2109375,0.828125
-1 day, 23:59:58.125000,0.15625,-0.1640625,0.765625
-1 day, 23:59:58.145000,0.0703125,-0.0234375,0.6875
-1 day, 23:59:58.165000,0.015625,0.03125,0.6171875
-1 day, 23:59:58.185000,-0.03125,-0.078125,0.5859375
-1 day, 23:59:58.205000,-0.1328125,-0.15625,0.515625
-1 day, 23:59:58.225000,-0.1953125,-0.1796875,0.4453125
-1 day, 23:59:58.245000,-0.2578125,-0.1953125,0.390625
-1 day, 23:59:58.265000,-0.3125,-0.2109375,0.375
-1 day, 23:59:58.285000,-0.359375,-0.203125,0.3828125
-1 day, 23:59:57.186000,0,-0.046875,0.6640625
-1 day, 23:59:57.206000,0,-0.046875,0.671875
-1 day, 23:59:57.226000,0,-0.046875,0.6640625
-1 day, 23:59:57.246000,0.0078125,-0.046875,0.671875
-1 day, 23:59:57.266000,0,-0.046875,0.6640625
-1 day, 23:59:57.286000,0.0078125,-0.046875,0.65625
-1 day, 23:59:57.306000,0,-0.046875,0.671875
-1 day, 23:59:57.326000,0,-0.0546875,0.6640625
-1 day, 23:59:57.346000,0,-0.0390625,0.671875
-1 day, 23:59:57.366000,0,-0.046875,0.6640625
-1 day, 23:59:57.386000,0,-0.046875,0.671875
-1 day, 23:59:57.406000,0.0078125,-0.03125,0.671875
-1 day, 23:59:57.426000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:57.446000,0,-0.046875,0.671875
-1 day, 23:59:57.466000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:57.486000,0,-0.046875,0.6640625
-1 day, 23:59:57.506000,0.0078125,-0.046875,0.671875
-1 day, 23:59:57.526000,0,-0.046875,0.6640625
-1 day, 23:59:57.546000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:57.566000,0.0078125,-0.046875,0.65625
-1 day, 23:59:57.584000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:57.604000,0.0078125,-0.046875,0.671875
-1 day, 23:59:57.624000,0.0078125,-0.03125,0.6640625
-1 day, 23:59:57.644000,0.0078125,-0.046875,0.671875
-1 day, 23:59:57.664000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:57.684000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:57.704000,0.015625,-0.046875,0.671875
-1 day, 23:59:57.724000,0.015625,-0.046875,0.671875
-1 day, 23:59:57.744000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:57.764000,0.0078125,-0.03125,0.6640625
-1 day, 23:59:57.784000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:57.804000,0.0078125,-0.046875,0.671875
-1 day, 23:59:57.824000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:57.844000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:57.864000,0.0078125,-0.0390625,0.6640625
-1 day, 23:59:57.884000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:57.904000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:57.924000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:57.944000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:57.964000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.004000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.024000,0.0078125,-0.046875,0.65625
-1 day, 23:59:58.044000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.064000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.084000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.104000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:58.124000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.144000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:58.164000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.184000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:58.204000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.224000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.244000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.264000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.284000,0,-0.046875,0.65625
-1 day, 23:59:58.304000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.324000,0.0078125,-0.0546875,0.6796875
-1 day, 23:59:58.344000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.364000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.384000,0,-0.0546875,0.6484375
-1 day, 23:59:58.405000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.425000,0,-0.0625,0.671875
-1 day, 23:59:58.445000,0,-0.0546875,0.671875
-1 day, 23:59:58.465000,0,-0.0546875,0.6640625
-1 day, 23:59:58.485000,0,-0.0546875,0.671875
-1 day, 23:59:58.505000,0,-0.0546875,0.671875
-1 day, 23:59:58.525000,0,-0.0546875,0.671875
-1 day, 23:59:58.545000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.565000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.585000,0,-0.0546875,0.671875
-1 day, 23:59:58.605000,0.0078125,-0.0546875,0.671875
-1 day, 23:59:58.625000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.645000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.665000,0,-0.0546875,0.6640625
-1 day, 23:59:58.685000,0,-0.046875,0.6640625
-1 day, 23:59:58.705000,0,-0.0546875,0.65625
-1 day, 23:59:58.725000,0.0078125,-0.0546875,0.671875
-1 day, 23:59:58.745000,0,-0.046875,0.65625
-1 day, 23:59:58.765000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:58.785000,0,-0.046875,0.671875
-1 day, 23:59:58.797000,0,-0.046875,0.671875
-1 day, 23:59:58.817000,0,-0.0546875,0.6640625
-1 day, 23:59:58.837000,0.0078125,-0.046875,0.65625
-1 day, 23:59:58.857000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.877000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:58.897000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.917000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:58.937000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.957000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:58.977000,0.0078125,-0.046875,0.671875
-1 day, 23:59:58.997000,0.0078125,-0.046875,0.6796875
-1 day, 23:59:59.017000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.037000,0,-0.046875,0.6640625
-1 day, 23:59:59.057000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.077000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.097000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.117000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:59.137000,0,-0.046875,0.671875
-1 day, 23:59:59.157000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.177000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.191000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.211000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.231000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.251000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:59.271000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.291000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:59.311000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.331000,0.0078125,-0.046875,0.65625
-1 day, 23:59:59.351000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.371000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.391000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.411000,0.0078125,-0.046875,0.671875
